id,source_name,company,city,salary_min,salary_max,experience,education,publish_time,source_url,抽取技能,jd长度
6095,51job,兴业数字金融服务（上海）股份有限公司,福州·台江区,15000,25000,2年及以上,本科,,https://jobs.51job.com/fuzhou-tjq/170679632.html?s=sou_sou_soulb&t=0_0&req=e66039e9-3600-44ef-8c2d-8dcf2a8aa580,分布式/mybatis/java/spring boot/微服务,279
6101,51job,兴业数字金融服务（上海）股份有限公司,福州·台江区,15000,25000,2-10年,硕士,,https://jobs.51job.com/fuzhou-tjq/171159111.html?s=sou_sou_soulb&t=0_0&req=e66039e9-3600-44ef-8c2d-8dcf2a8aa580,mybatis/mysql/spring boot/java,259
6104,51job,兴业数字金融服务（上海）股份有限公司,福州·台江区,20000,40000,2年及以上,硕士,,https://jobs.51job.com/fuzhou-tjq/172404213.html?s=sou_sou_soulb&t=0_0&req=e66039e9-3600-44ef-8c2d-8dcf2a8aa580,nginx/docker/java/redis/tomcat/spring boot/mysql,247
6107,51job,兴业数字金融服务（上海）股份有限公司,福州·台江区,15000,30000,5年及以上,本科,,https://jobs.51job.com/fuzhou-tjq/163937620.html?s=sou_sou_soulb&t=0_0&req=148f49bb-0fa0-4e1e-bd7f-f9fa06470219,单元测试/oracle/mybatis/java/linux/spring boot/mysql/微服务,511
6112,51job,兴业数字金融服务（上海）股份有限公司,福州·台江区,16666,33333,2年及以上,硕士,,https://jobs.51job.com/fuzhou-tjq/171826433.html?s=sou_sou_soulb&t=0_0&req=148f49bb-0fa0-4e1e-bd7f-f9fa06470219,nginx/单元测试/docker/java/redis/tomcat/spring boot/mysql,404
6114,51job,兴业数字金融服务（上海）股份有限公司,福州·台江区,20000,40000,2年及以上,硕士,,https://jobs.51job.com/fuzhou-tjq/171700279.html?s=sou_sou_soulb&t=0_0&req=148f49bb-0fa0-4e1e-bd7f-f9fa06470219,nginx/docker/java/redis/tomcat/spring boot/mysql,247
6115,51job,兴业数字金融服务（上海）股份有限公司,福州·台江区,33333,66666,2年及以上,本科,,https://jobs.51job.com/fuzhou-tjq/163445542.html?s=sou_sou_soulb&t=0_0&req=148f49bb-0fa0-4e1e-bd7f-f9fa06470219,nginx/单元测试/docker/java/redis/tomcat/spring boot/mysql,404
6117,51job,深圳米飞泰克科技股份有限公司,深圳·龙岗区,15000,25000,3年及以上,本科,,https://jobs.51job.com/shenzhen-lgq/172852674.html?s=sou_sou_soulb&t=0_0&req=3963faf3-9edf-471b-8859-1dc93874e6d8,单元测试/oracle/spring cloud/hibernate/限流/java/接口开发/spring boot/微服务,1318
6126,51job,深圳市锐捷信息技术有限公司,深圳·龙华区,7000,14000,1年,本科,,https://jobs.51job.com/shenzhen-lhq/142113291.html?s=sou_sou_soulb&t=0_0&req=3963faf3-9edf-471b-8859-1dc93874e6d8,jquery/oracle/hibernate/sql server/mybatis/java/spring boot,596
6128,51job,深圳市倍斯特科技股份有限公司,深圳·宝安区,12000,15000,5年及以上,本科,,https://jobs.51job.com/shenzhen-baq/166240745.html?s=sou_sou_soulb&t=0_0&req=3963faf3-9edf-471b-8859-1dc93874e6d8,nginx/git/分布式/rabbitmq/hibernate/mybatis/maven/java/redis/kafka/linux/spring boot/mysql,569
6129,51job,北京高阳金信信息技术有限公司,深圳·龙岗区,8000,15000,2-4年,本科,,https://jobs.51job.com/shenzhen-lgq/170902811.html?s=sou_sou_soulb&t=0_0&req=3963faf3-9edf-471b-8859-1dc93874e6d8,postgresql/消息队列/sql优化/oracle/hibernate/功能测试/mybatis/java/测试用例/spring boot/restful,460
6131,51job,深圳市深鹏达电网科技有限公司,深圳,10000,20000,3年及以上,本科,,https://jobs.51job.com/shenzhen/169865735.html?s=sou_sou_soulb&t=0_1&req=19f2bc9e-72ae-4de6-bbd2-1419e0b2eaf6,oracle/mybatis/java/gitlab/gradle/tomcat/dubbo/hibernate/spring boot/vue/微服务/智能体/jquery/maven/redis/mysql/nginx/zookeeper/javascript,524
6161,51job,北京深辉机械科技有限公司,无锡·梁溪区,8000,13000,无需经验,本科,,https://jobs.51job.com/wuxi-lxq/170901151.html?s=sou_sou_soulb&t=0_0&req=479a44bc-7f61-456f-8914-8736d1c24ae6,java/mybatis/spring boot,249
6171,51job,南京欧米麦克机器人科技有限公司,南京·江宁区,8000,15000,3年及以上,本科,,https://jobs.51job.com/nanjing-jnq/170650657.html?s=sou_sou_soulb&t=0_0&req=d0112f35-f8ea-4e39-b1fa-69262e19529d,spring cloud/mybatis/缓存/java/linux/plc/gradle/shell/单元测试/spring boot/vue/git/rabbitmq/jquery/maven/redis/kafka/负载均衡/mysql/javascript/modbus,1810
6173,51job,南京拾柴信息科技有限公司,南京·浦口区,8000,12000,3-5年,本科,,https://jobs.51job.com/nanjing-pkq/172362928.html?s=sou_sou_soulb&t=0_0&req=2d65287b-4a16-4b27-b68a-a7f82f5b6b08,消息队列/git/rabbitmq/spring cloud/mysql/maven/mybatis/java/redis/kafka/linux/缓存/gradle/spring boot/rocketmq/微服务,643
6177,51job,南京沃德睿医疗科技有限公司,南京·江宁区,7000,10000,2年及以上,大专,,https://jobs.51job.com/nanjing-jnq/171358232.html?s=sou_sou_soulb&t=0_0&req=2d65287b-4a16-4b27-b68a-a7f82f5b6b08,spring cloud/mybatis/缓存/java/linux/rocketmq/restful/单元测试/docker/spring boot/高并发/微服务/git/rabbitmq/maven/redis/mysql/消息队列/jenkins,643
6184,51job,深圳振强药物研发有限公司,深圳·坪山区,8000,12000,1-3年,本科,,https://jobs.51job.com/shenzhen-psq/172837931.html?s=sou_sou_soulb&t=0_0&req=51b8989b-c587-4c28-b40c-25115edf8846,oracle/spring cloud/mybatis/缓存/java/html/linux/css/gradle/dubbo/分布式/spring boot/微服务/git/rabbitmq/maven/redis/kafka/mysql/消息队列/javascript,910
6191,51job,深圳市法本信息技术股份有限公司,深圳·福田区,13000,18000,5年及以上,本科,,https://jobs.51job.com/shenzhen-ftq/171120942.html?s=sou_sou_soulb&t=0_0&req=51b8989b-c587-4c28-b40c-25115edf8846,spring cloud/java/gitlab/linux/gradle/rocketmq/分布式/分布式事务/docker/spring boot/微服务/git/rabbitmq/maven/redis/mysql/elasticsearch/限流/降级/jenkins,604
6310,51job,北京深辉机械科技有限公司,济南,8000,16000,无需经验,本科,,https://jobs.51job.com/jinan/170899870.html?s=sou_sou_soulb&t=0_0&req=f2f7beea-1e6d-4d35-bc3d-e15def439e46,java/mybatis/spring boot,249
6526,51job,中通服软件科技有限公司,重庆·两江新区,,160000,在校生/应届生,本科,,https://jobs.51job.com/chongqing-ljxq/171915794.html?s=sou_sou_soulb&t=0_0&req=433fe3b6-a857-4ecc-9185-98ad3142ab10,单元测试/oracle/spring cloud/缓存/java/spring boot/mysql/微服务,366
6575,51job,湖北典禾机械科技有限公司,合肥,12000,18000,1-3年,本科,,https://jobs.51job.com/hefei/168157683.html?s=sou_sou_soulb&t=0_0&req=aad4d09a-e08f-478a-b4fc-7a162919b2f3,jquery/oracle/mybatis/java/redis/html/css/spring boot/mysql,391
6580,51job,湖北省瑞祥佳业电子科技有限公司,合肥,10000,15000,1年及以上,本科,,https://jobs.51job.com/hefei/170727708.html?s=sou_sou_soulb&t=0_0&req=d45895b2-cce7-48e8-9f64-367a898333a1,spring/mybatis/java,240
6582,51job,南京睿灿欣电气设备有限公司,合肥·包河区,12000,18000,无需经验,本科,,https://jobs.51job.com/hefei-bhq/170233297.html?s=sou_sou_soulb&t=0_0&req=d45895b2-cce7-48e8-9f64-367a898333a1,分布式/mybatis/java/redis/spring boot/微服务,275
6583,51job,北京深辉机械科技有限公司,合肥·包河区,8000,14000,无需经验,本科,,https://jobs.51job.com/hefei-bhq/170900811.html?s=sou_sou_soulb&t=0_0&req=d45895b2-cce7-48e8-9f64-367a898333a1,java/mybatis/spring boot,249
6584,51job,江苏星方筑缘机电设备有限公司,合肥·庐阳区,8000,14000,无需经验,本科,,https://jobs.51job.com/hefei-lyq/170881111.html?s=sou_sou_soulb&t=0_0&req=d45895b2-cce7-48e8-9f64-367a898333a1,单元测试/mybatis/java/spring boot/mysql,231
6622,51job,南京睿灿欣电气设备有限公司,杭州·西湖区,12000,18000,无需经验,本科,,https://jobs.51job.com/hangzhou-xhq/170719443.html?s=sou_sou_soulb&t=0_0&req=8a2bf03d-de27-4ff0-9924-582f02f18596,分布式/mybatis/java/redis/spring boot/微服务,275
6624,51job,南京天奕数字科技发展有限公司,杭州,18000,30000,2年及以上,硕士,,https://jobs.51job.com/hangzhou/171649418.html?s=sou_sou_soulb&t=0_0&req=8a2bf03d-de27-4ff0-9924-582f02f18596,nginx/单元测试/docker/java/redis/tomcat/spring boot/mysql,350
7776,51job,南京宽塔信息技术有限公司,南京·江宁区,7500,12000,1年及以上,本科,,https://jobs.51job.com/nanjing-jnq/139223197.html?s=sou_sou_soulb&t=0_0&req=4e32ba2f-b396-410e-b473-a77fe0852def,单元测试/javascript/oracle/jquery/mybatis/java/redis/接口开发/spring boot/mysql/netty,329
7781,51job,上海盖讯信息技术有限公司,南京·玄武区,6000,10000,1年及以上,大专,,https://jobs.51job.com/nanjing-xwq/170938903.html?s=sou_sou_soulb&t=0_0&req=4e32ba2f-b396-410e-b473-a77fe0852def,分布式/javascript/oracle/sql server/mybatis/html/css/spring boot/vue/mysql/微服务,373
7791,51job,南京小昕科技有限公司,南京,4000,6000,1年及以上,大专,,https://jobs.51job.com/nanjing/172756689.html?s=sou_sou_soulb&t=0_0&req=6c54d419-3563-4ec3-a07f-5a27a90a6231,java/mybatis/spring boot,154
7797,51job,深圳华搜信息科技有限公司,南京,12000,24000,1年,本科,,https://jobs.51job.com/nanjing/171750021.html?s=sou_sou_soulb&t=0_0&req=6c54d419-3563-4ec3-a07f-5a27a90a6231,postgresql/git/python/单元测试/mysql/缓存/c++/java/redis/go/ci/cd/restful/微服务,477
7798,51job,南京睿灿欣电气设备有限公司,南京·鼓楼区,12000,18000,无需经验,本科,,https://jobs.51job.com/nanjing-glq/170233051.html?s=sou_sou_soulb&t=0_0&req=6c54d419-3563-4ec3-a07f-5a27a90a6231,分布式/mybatis/java/redis/spring boot/微服务,275
8046,51job,吉客地空（上海）物流科技有限公司,上海·徐汇区,9000,18000,5年及以上,本科,,https://jobs.51job.com/shanghai-xhq/172845797.html?s=sou_sou_soulb&t=0_0&req=b9c3c671-4c99-42a2-9f25-7d14b40e90cf,sql优化/分布式/javascript/spring cloud/缓存/java/html/redis/linux/负载均衡/自动化测试/spring boot/vue/高并发/ci/cd/mysql/微服务/jenkins,859
8669,51job,普元信息技术股份有限公司,上海,15000,20000,2年及以上,本科,,https://jobs.51job.com/shanghai/172308769.html?s=sou_sou_soulb&t=0_1&req=bad150c5-fa95-4bff-a8fb-67ec72c32fa5,ansible/oracle/spring cloud/mybatis/java/gitlab/linux/etl/shell/uniapp/starrocks/docker/spring boot/hadoop/git/python/mongodb/maven/redis/ci/cd/mysql/c++/jenkins,977
9675,51job,四川九强通信科技有限公司,成都·武侯区,7000,12000,1年及以上,本科,,https://jobs.51job.com/chengdu-whq/153949709.html?s=sou_sou_soulb&t=0_0&req=51260efa-4c84-4537-8dde-96b108701c10,postgresql/git/oracle/java/mysql,320
12033,51job,广州市亿博信息技术有限公司,深圳·南山区,13000,18000,5年及以上,大专,,https://jobs.51job.com/shenzhen-nsq/172905845.html?s=sou_sou_soulb&t=0_0&req=feca6c47-baee-485c-b4e7-6520a06972bc,spring cloud/spring boot,59
