== 共 195 个城市 ==
城市      总记录     真实      ai_seed 类型数   状态
  Python开发工程师×4 / 市场专员×3 / 数据库工程师×3 / 虚拟现实技术专职教师×3 / 后端开发工程师×3 / 外科产品销售（南昌）×3 / 产品设计专业带头人×3 / 产品设计专职教师×2 / PLC工程师×2 / AI产品经理×2 / Go开发工程师×2 / 产品经理×2

[九江]
  培训专员×4 / Java开发工程师×3 / 全栈开发工程师×3 / 安全工程师×3 / 大数据开发工程师×3 / Go开发工程师×3 / 前端开发工程师×2 / 嵌入式软件工程师×2 / C++开发工程师×2 / IoT软件工程师×2 / 出纳×2 / Android开发工程师×2

[赣州]
  Python开发工程师×4 / MySQL数据库工程师×4 / 人力资源专员×3 / 嵌入式软件工程师×3 / IT项目经理×3 / 软件工程师×3 / 结构工程师×2 / 全栈开发工程师×2 / Web开发工程师×2 / 后端开发工程师×2 / 品牌运营×2 / 人工智能工程师×2

[南京]
  电气工程师×42 / 前端开发工程师×36 / plc电气工程师×22 / 质检员×16 / 软件开发工程师×12 / 机械制图员×10 / 全栈工程师×10 / java开发工程师×10 / 自动化电气工程师×8 / 产品经理×8 / UI设计师×8 / PLC工程师×6

[苏州]
  TOX-毒理商务中心项目经理(J23896)×4 / AI工程师（大模型方向）×2 / AWS IoT 工程师-[005120]×2 / AI算法工程师（大模型方向）×2 / AI应用工程师×2 / Audio Visual Integration Engineer IV×2 / AI架构工程师×2 / cnc/数控操机×2 / cnc操机×2 / CNC车间主管（金桥方向）×2 / CNC品质工程师×2 / AI高级工程师×2

[无锡]
  质量工程师×62 / 波峰焊技术员×14 / CAD绘图×12 / cad机械制图员×12 / 上位机软件工程师×10 / 客户质量工程师×10 / 项目工程师×8 / 平面设计师×6 / 品质工程师×6 / cqe客户质量工程师×6 / 供应商质量工程师×6 / 服装设计师×6

[成都]
  软件工程师×34 / 质量体系工程师×22 / 软件开发工程师×20 / 现场QA×18 / 嵌入式软件工程师×18 / 运维工程师×16 / 自动化工程师×16 / 自控工程师×14 / IE工程师×12 / C++开发工程师×10 / java开发工程师×10 / 体系工程师×10

[绵阳]
  新媒体艺术专业教师×5 / 采购专员×4 / 射频工程师×3 / 液压工程师×3 / 软件工程师×3 / Java开发工程师×3 / 测试开发工程师×3 / 全栈开发工程师×3 / C++开发工程师×3 / 品牌运营×3 / 光学工程师×2 / 企业信息化工程师×2

[济南]
  测试工程师×8 / 测试开发工程师×4 / 前端开发工程师×4 / 软件工程师×4 / 软件测试×4 / ai数据标注周末双休×2 / AI视频审核员×2 / AI大模型算法工程师×2 / C++高级开发工程师×2 / BMS系统设计工程师(J12338)×2 / C++和JAVA软件研发工程师×2 / AI软件开发工程师（校招/济南）×2

[青岛]
  产品经理×4 / 视觉传达教师×4 / 工艺工程师×3 / 网络安全工程师×3 / AI产品经理×3 / 前端开发工程师×3 / IT项目经理×2 / 海洋工程工程师×2 / 海洋生物研究员×2 / MES系统工程师×2 / Product Quality Engineer 产品质量工程师 (MJ001122)×2 / C++开发工程师×2

[武汉]
  FPGA工程师×24 / 软件工程师×14 / 生产班长×14 / 仓库管理员×14 / 电气工程师×12 / 化工操作工×10 / 嵌入式软件工程师×10 / FPGA开发工程师×10 / 供应链主管×8 / fpga开发工程师×8 / 前端开发工程师×8 / 物料计划员×8

[襄阳]
  运维工程师×4 / 传感器应用工程师×4 / 底盘工程师×3 / 数据工程师×3 / 软件工程师×3 / 新媒体运营×3 / 测试开发工程师×3 / 产品设计研发工程师×3 / 前端开发工程师×2 / 边缘计算工程师×2 / C++开发工程师×2 / 嵌入式开发工程师×2

[郑州]
  数据分析师×10 / python工程师×4 / 数据标注×4 / 后端Python工程师（河南）(J11586)×4 / AI剪辑×2 / Ai剪辑作学徒×2 / AI抽卡师×2 / AI平台测试工程师（郑州）(J13895)×2 / AI仿真人短剧生成师×2 / Ai视频后期剪辑×2 / AI数据标注工程师×2 / AI漫剧制作学员×2

[长沙]
  测试工程师×24 / 软件测试工程师×8 / 前端开发工程师×8 / 软件开发工程师×6 / 软件测试×6 / 网络性能测试工程师×4 / 全栈工程师×4 / 技术支持工程师×4 / 前端工程师×4 / Python Web后端×2 / 测试岗×2 / IT项目经理×2

[杭州]
  硬件工程师×48 / 算法工程师×28 / 数据分析师×24 / 全栈开发工程师×23 / 工艺工程师×22 / 运维工程师×22 / 体系工程师×20 / 测试工程师×18 / 前端开发工程师×16 / java开发工程师×14 / 后端开发工程师×13 / 电子工程师×12

[宁波]
  HMI工程师×4 / DQE工程师×4 / 焊接工程师×4 / Purchaser×3 / 船务经理×3 / 企业信息化工程师×3 / iOS开发工程师（音频设备交互方向）×3 / iOS开发工程师（汽车行业）×3 / AI产品经理×3 / Purchaser Engineer×3 / C++开发工程师×2 / 高级Java开发工程师×2

== 抽查城市两两 Jaccard（岗位类型集合相似度，1.0=完全相同）==
  北京 vs 上海: 0.14
  北京 vs 广州: 0.33
  广州 vs 深圳: 0.33
  南昌 vs 九江: 0.04
  南昌 vs 赣州: 0.09
  九江 vs 赣州: 0.09
  南京 vs 苏州: 0.00
  成都 vs 绵阳: 0.09
  武汉 vs 襄阳: 0.09
  南昌 vs 南京: 0.09
  南昌 vs 成都: 0.00
