[迁移] the_total_table 已补齐 industry_tags/skills/job_description/qualification/work_experience/city_seed/sort_weight 列
[重建] 已删除全部 ai_seed 行 11009 条

城市        省份      真实标题    已有AI    补齐前     补齐后     新增    达标
揭阳        广东      0       0       0       50      50    OK
新乡        河南      1       0       1       50      48    OK
无锡        江苏      334     0       334     334     0     OK
昆明        云南      2       0       2       95      91    OK
曲靖        云南      0       0       0       95      95    OK
本溪        辽宁      0       0       0       50      50    OK
杭州        浙江      1288    0       1288    1288    0     OK
柳州        广西      1       0       1       95      93    OK
株洲        湖南      0       0       0       50      50    OK
桂林        广西      1       0       1       95      93    OK
梅州        广东      1       0       1       50      48    OK
梧州        广西      0       0       0       50      50    OK
榆林        陕西      0       0       0       50      50    OK
武汉        湖北      646     0       646     646     0     OK
汉中        陕西      0       0       0       50      50    OK
汕头        广东      0       0       0       95      95    OK
汕尾        广东      2       0       2       50      46    OK
江门        广东      3       0       3       50      44    OK
沈阳        辽宁      26      0       26      95      41    OK
沧州        河北      0       0       0       50      50    OK
河源        广东      0       0       0       50      50    OK
泉州        福建      0       0       0       95      95    OK
泰安        山东      0       0       0       50      50    OK
泰州        江苏      3       0       3       50      44    OK
泸州        四川      0       0       0       50      50    OK
洛阳        河南      0       0       0       95      95    OK
济南        山东      89      0       89      89      0     OK
济宁        山东      1       0       1       95      93    OK
海口        海南      1       0       1       95      93    OK
淄博        山东      0       0       0       50      50    OK
淮南        安徽      0       0       0       50      50    OK
淮安        江苏      1       0       1       50      48    OK
深圳        广东      1700    0       1700    1700    0     OK
清远        广东      3       0       3       50      44    OK
温州        浙江      1       0       1       95      93    OK
渭南        陕西      0       0       0       50      50    OK
湖州        浙江      1       0       1       50      48    OK
湘潭        湖南      0       0       0       50      50    OK
湛江        广东      0       0       0       50      50    OK
漳州        福建      0       0       0       50      50    OK
潍坊        山东      0       0       0       95      95    OK
潮州        广东      0       0       0       50      50    OK
澳门        澳门      0       0       0       95      95    OK
烟台        山东      47      0       47      47      0     OK
焦作        河南      0       0       0       50      50    OK
玉溪        云南      0       0       0       50      50    OK
珠海        广东      27      0       27      95      39    OK
益阳        湖南      0       0       0       50      50    OK
盐城        江苏      0       0       0       50      50    OK
石嘴山       宁夏      0       0       0       50      50    OK
石家庄       河北      2       0       2       95      91    OK
福州        福建      66      0       66      66      0     OK
绍兴        浙江      6       0       6       95      83    OK
绵阳        四川      1       0       1       95      93    OK
肇庆        广东      1       0       1       50      48    OK
自贡        四川      0       0       0       50      50    OK
舟山        浙江      1       0       1       50      48    OK
芜湖        安徽      4       0       4       95      85    OK
苏州        江苏      51      0       51      51      0     OK
茂名        广东      0       0       0       50      50    OK
荆州        湖北      1       0       1       50      48    OK
荆门        湖北      0       0       0       50      50    OK
莆田        福建      0       0       0       50      50    OK
蚌埠        安徽      0       0       0       50      50    OK
衡阳        湖南      0       0       0       50      50    OK
衢州        浙江      0       0       0       50      50    OK
襄阳        湖北      1       0       1       95      93    OK
西宁        青海      0       0       0       95      95    OK
西安        陕西      147     0       147     147     0     OK
贵阳        贵州      0       0       0       95      95    OK
赣州        江西      0       0       0       50      50    OK
赤峰        内蒙古     0       0       0       50      50    OK
达州        四川      0       0       0       50      50    OK
运城        山西      0       0       0       50      50    OK
连云港       江苏      0       0       0       50      50    OK
遂宁        四川      1       0       1       50      48    OK
遵义        贵州      0       0       0       95      95    OK
邯郸        河北      0       0       0       50      50    OK
郑州        河南      59      0       59      59      0     OK
郴州        湖南      1       0       1       50      48    OK
鄂尔多斯      内蒙古     0       0       0       95      95    OK
鄂州        湖北      0       0       0       50      50    OK
重庆        重庆      103     0       103     103     0     OK
金华        浙江      2       0       2       95      91    OK
银川        宁夏      0       0       0       95      95    OK
锦州        辽宁      0       0       0       50      50    OK
镇江        江苏      0       0       0       50      50    OK
长春        吉林      1       0       1       95      93    OK
长沙        湖南      65      0       65      65      0     OK
阜阳        安徽      0       0       0       50      50    OK
阳江        广东      1       0       1       50      48    OK
青岛        山东      4       0       4       95      87    OK
鞍山        辽宁      0       0       0       50      50    OK
韶关        广东      0       0       0       50      50    OK
香港        香港      0       0       0       95      95    OK
马鞍山       安徽      0       0       0       50      50    OK
驻马店       河南      0       0       0       50      50    OK
高雄        台湾      0       0       0       50      50    OK
黄冈        湖北      0       0       0       50      50    OK
黄石        湖北      0       0       0       50      50    OK
齐齐哈尔      黑龙江     0       0       0       50      50    OK
----------------------------------------------------------------------
共 178 个城市，新增写入 10041 条，未达标 0 个
